"DECCFR","Personas","estudiauniv","estudiaunivpub","univ_perc","univpub_perc","estudiatrabaja","univtrabaja_perc"
1,744300,101062,91363,13.5781270992879,12.2750235120247,11120,11.0031465832855
2,737068,132990,124891,18.043111354719,16.9442982194316,21829,16.4140160914354
3,611938,128092,117550,20.9321859404057,19.2094623965173,16829,13.1382131592918
4,461356,112459,94838,24.3757532144374,20.5563599476326,24999,22.2294347273228
5,538781,162295,141918,30.1226286747305,26.340572514621,47825,29.4679441757294
6,459950,138460,118111,30.1032720947929,25.6790955538645,57058,41.2090134334826
7,376483,143590,117487,38.1398363272711,31.206455537169,55364,38.5570025767811
8,376602,167382,95448,44.4453295521532,25.3445281756337,87914,52.5229714067223
9,211354,103450,69561,48.9463175525422,32.9120811529472,45162,43.6558724021266
10,138792,68258,41932,49.1800680154476,30.2121159721021,19270,28.2311230917988
